trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,break_text.started,break_text.stopped,postbreak_text.started,postbreak_text.stopped,fixation1.started,fixation1.stopped,dots_stimulus.started,dots_stimulus.stopped,blackout.started,blackout.stopped,red_dot.started,red_dot.stopped,fixation2.started,fixation2.stopped,pursuit_or_saccade_dot.started,pursuit_or_saccade_dot.stopped,response.keys,response.rt,response.started,response.stopped,coh,dir,response,correct,pursuit_saccade_isLeft,congruent,pupil_timestamp,psychopy_timestamp,participant,trials_per_condition,pursuit_or_saccade,practice_version,break_every_n_trials,pupil_on,date,expName,psychopyVersion,frameRate,
254,0,254,0,None,None,None,None,1469.3506695999968,1470.3653018999976,1470.3653018999976,1470.6650901999965,1470.3653018999976,1470.6650901999965,1469.3506695999968,1471.6818777000008,1470.6650901999965,1471.6665388999972,1471.6665388999972,1472.8161532999948,right,0.19320429999788757,1472.8161532999948,None,0.06,180.0,0,0,1.0,1,55908.41798,1468.3468301799994,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
255,0,255,0,None,None,None,None,1474.055906900001,1475.0683076999994,1475.0683076999994,1475.3688541999945,1475.0683076999994,1475.3688541999945,1474.055906900001,1476.3868898,1475.3688541999945,1476.369827800001,1476.369827800001,1477.5214431999993,left,0.19185080000170274,1477.5214431999993,None,0.24,180.0,180,1,1.0,1,55913.123236,1473.051026279999,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
256,0,256,0,None,None,None,None,1478.7595875999978,1479.774631100001,1479.774631100001,1480.0744608999958,1479.774631100001,1480.0744608999958,1478.7595875999978,1481.0921148999987,1480.0744608999958,1481.0760649000003,1481.0760649000003,1482.226479500001,right,0.14349850000144215,1482.226479500001,None,0.48,0.0,0,1,1.0,0,55917.826109,1477.7555397799997,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
257,0,257,0,None,None,None,None,1483.418727999997,1484.428363799998,1484.428363799998,1484.7286811999948,1484.428363799998,1484.7286811999948,1483.418727999997,1485.7466934999975,1484.7286811999948,1485.729898999998,1485.729898999998,1486.896968699999,right,0.11245809999672929,1486.896968699999,None,0.06,0.0,0,1,0.0,1,55922.484823,1482.41067278,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
258,0,258,0,None,None,None,None,1488.0538764000012,1489.0669065999973,1489.0669065999973,1489.3670066999985,1489.0669065999973,1489.3670066999985,1488.0538764000012,1490.3838342999952,1489.3670066999985,1490.3685197999948,1490.3685197999948,1491.5184382999942,left,0.2028621999997995,1491.5184382999942,None,0.03,0.0,180,0,0.0,1,55927.121762,1487.0486830799973,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
259,0,259,0,None,None,None,None,1492.7753020999953,1493.7881352999975,1493.7881352999975,1494.088716499995,1493.7881352999975,1494.088716499995,1492.7753020999953,1495.1049891000002,1494.088716499995,1495.089596400001,1495.089596400001,1496.2397595000002,right,0.2898064999972121,1496.2397595000002,None,0.12,0.0,0,1,0.0,1,55931.841986,1491.770143480001,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
260,0,260,0,None,None,None,None,1497.5793984999982,1498.5924205999981,1498.5924205999981,1498.892241499998,1498.5924205999981,1498.892241499998,1497.5793984999982,1499.9103350000005,1498.892241499998,1499.8934575999956,1499.8934575999956,1501.045238599996,right,0.044231699997908436,1501.045238599996,None,0.06,0.0,0,1,1.0,0,55936.645604,1496.5737747799985,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
261,0,261,0,None,None,None,None,1502.1337683999955,1503.1466994000002,1503.1466994000002,1503.4468525999982,1503.1466994000002,1503.4468525999982,1502.1337683999955,1504.4641874999943,1503.4468525999982,1504.4487627999988,1504.4487627999988,1505.5996457,right,0.2017215000014403,1505.5996457,None,0.03,180.0,0,0,1.0,1,55941.201064,1501.129142279996,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
262,0,262,0,None,None,None,None,1506.8404491999972,1507.852246399998,1507.852246399998,1508.1523308999967,1507.852246399998,1508.1523308999967,1506.8404491999972,1509.1701312000005,1508.1523308999967,1509.1528050999987,1509.1528050999987,1510.304681900001,right,0.06558790000417503,1510.304681900001,None,0.12,180.0,0,0,0.0,0,55945.907963,1505.8335888799966,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
263,0,263,0,None,None,None,None,1511.4088176000005,1512.4229126999999,1512.4229126999999,1512.723966999998,1512.4229126999999,1512.723966999998,1511.4088176000005,1513.7405107999948,1512.723966999998,1513.7248433999994,1513.7248433999994,1514.874988699994,left,0.27836410000600154,1514.874988699994,None,0.48,180.0,180,1,1.0,1,55950.476377,1510.4045849799995,,90,1,0,45,1,2021_Feb_10_1523,testDots,2020.2.5,59.698284868642006,
